Region,Hour,Technology,Fuel,Value
UK,1,CoalMine,Power,-0.0
DE,2,CoalMine,Power,-0.0
FR,2,CoalMine,Power,-0.0
NO,2,CoalMine,Power,-0.0
DK,2,CoalMine,Power,-0.0
UK,2,CoalMine,Power,-0.0
DE,3,CoalMine,Power,-0.0
FR,3,CoalMine,Power,-0.0
NO,3,CoalMine,Power,-0.0
DK,3,CoalMine,Power,-0.0
UK,3,CoalMine,Power,-0.0
DE,4,CoalMine,Power,-0.0
FR,4,CoalMine,Power,-0.0
NO,4,CoalMine,Power,-0.0
DK,4,CoalMine,Power,-0.0
UK,4,CoalMine,Power,-0.0
DE,5,CoalMine,Power,-0.0
FR,5,CoalMine,Power,-0.0
NO,5,CoalMine,Power,-0.0
DK,5,CoalMine,Power,-0.0
UK,5,CoalMine,Power,-0.0
DE,6,CoalMine,Power,-0.0
FR,6,CoalMine,Power,-0.0
NO,6,CoalMine,Power,-0.0
DK,6,CoalMine,Power,-0.0
UK,6,CoalMine,Power,-0.0
DE,7,CoalMine,Power,-0.0
FR,7,CoalMine,Power,-0.0
NO,7,CoalMine,Power,-0.0
DK,7,CoalMine,Power,-0.0
UK,7,CoalMine,Power,-0.0
DE,8,CoalMine,Power,-0.0
FR,8,CoalMine,Power,-0.0
NO,8,CoalMine,Power,-0.0
DK,8,CoalMine,Power,-0.0
UK,8,CoalMine,Power,-0.0
DE,9,CoalMine,Power,-0.0
FR,9,CoalMine,Power,-0.0
NO,9,CoalMine,Power,-0.0
DK,9,CoalMine,Power,-0.0
UK,9,CoalMine,Power,-0.0
DE,10,CoalMine,Power,-0.0
FR,10,CoalMine,Power,-0.0
NO,10,CoalMine,Power,-0.0
DK,10,CoalMine,Power,-0.0
UK,10,CoalMine,Power,-0.0
DE,11,CoalMine,Power,-0.0
FR,11,CoalMine,Power,-0.0
NO,11,CoalMine,Power,-0.0
DK,11,CoalMine,Power,-0.0
UK,11,CoalMine,Power,-0.0
DE,12,CoalMine,Power,-0.0
FR,12,CoalMine,Power,-0.0
NO,12,CoalMine,Power,-0.0
DK,12,CoalMine,Power,-0.0
UK,12,CoalMine,Power,-0.0
DE,13,CoalMine,Power,-0.0
FR,13,CoalMine,Power,-0.0
NO,13,CoalMine,Power,-0.0
DK,13,CoalMine,Power,-0.0
UK,13,CoalMine,Power,-0.0
DE,14,CoalMine,Power,-0.0
FR,14,CoalMine,Power,-0.0
NO,14,CoalMine,Power,-0.0
DK,14,CoalMine,Power,-0.0
UK,14,CoalMine,Power,-0.0
DE,15,CoalMine,Power,-0.0
FR,15,CoalMine,Power,-0.0
NO,15,CoalMine,Power,-0.0
DK,15,CoalMine,Power,-0.0
UK,15,CoalMine,Power,-0.0
DE,16,CoalMine,Power,-0.0
FR,16,CoalMine,Power,-0.0
NO,16,CoalMine,Power,-0.0
DK,16,CoalMine,Power,-0.0
UK,16,CoalMine,Power,-0.0
DE,17,CoalMine,Power,-0.0
FR,17,CoalMine,Power,-0.0
NO,17,CoalMine,Power,-0.0
DK,17,CoalMine,Power,-0.0
UK,17,CoalMine,Power,-0.0
DE,18,CoalMine,Power,-0.0
FR,18,CoalMine,Power,-0.0
NO,18,CoalMine,Power,-0.0
DK,18,CoalMine,Power,-0.0
UK,18,CoalMine,Power,-0.0
DE,19,CoalMine,Power,-0.0
FR,19,CoalMine,Power,-0.0
NO,19,CoalMine,Power,-0.0
DK,19,CoalMine,Power,-0.0
UK,19,CoalMine,Power,-0.0
DE,20,CoalMine,Power,-0.0
FR,20,CoalMine,Power,-0.0
NO,20,CoalMine,Power,-0.0
DK,20,CoalMine,Power,-0.0
UK,20,CoalMine,Power,-0.0
DE,21,CoalMine,Power,-0.0
FR,21,CoalMine,Power,-0.0
NO,21,CoalMine,Power,-0.0
DK,21,CoalMine,Power,-0.0
UK,21,CoalMine,Power,-0.0
DE,22,CoalMine,Power,-0.0
FR,22,CoalMine,Power,-0.0
NO,22,CoalMine,Power,-0.0
DK,22,CoalMine,Power,-0.0
UK,22,CoalMine,Power,-0.0
DE,23,CoalMine,Power,-0.0
FR,23,CoalMine,Power,-0.0
NO,23,CoalMine,Power,-0.0
DK,23,CoalMine,Power,-0.0
UK,23,CoalMine,Power,-0.0
DE,24,CoalMine,Power,-0.0
FR,24,CoalMine,Power,-0.0
NO,24,CoalMine,Power,-0.0
DK,24,CoalMine,Power,-0.0
UK,24,CoalMine,Power,-0.0
DE,25,CoalMine,Power,-0.0
FR,25,CoalMine,Power,-0.0
NO,25,CoalMine,Power,-0.0
DK,25,CoalMine,Power,-0.0
UK,25,CoalMine,Power,-0.0
DE,26,CoalMine,Power,-0.0
FR,26,CoalMine,Power,-0.0
NO,26,CoalMine,Power,-0.0
DK,26,CoalMine,Power,-0.0
